project_id,title,description,country,budget,hourly_low,hourly_high,is_hourly,project_text
1,full stack developer,"job title: full stack developerwe are seeking a talented and experienced fullstack developer to join our development team and play a crucial role in designing, building, and maintaining our applications. if you are passionate about web development, possess a strong skill set in front end and backend technologies, and are eager to work on complex projects, we want to hear from you.responsibilities:- develop and maintain front end and backend components of our multitenant applications.- create and manage apis for seamless data communication between various application modules.- work with nosql databases, including mongodb, to store and retrieve data efficiently.- utilize node.js, javascript, and css to create responsive and interactive user interfaces.- collaborate with the team to implement features using angular, express.js, and ember.js.- incorporate rest and graphql apis to enhance application functionality.- manage code repositories on github and ensure proper version control.- write clean, efficient, a...",United States,1100,0,0,FALSE,"full stack developer job title: full stack developerwe are seeking a talented and experienced fullstack developer to join our development team and play a crucial role in designing, building, and maintaining our applications. if you are passionate about web development, possess a strong skill set in front end and backend technologies, and are eager to work on complex projects, we want to hear from you.responsibilities:- develop and maintain front end and backend components of our multitenant applications.- create and manage apis for seamless data communication between various application modules.- work with nosql databases, including mongodb, to store and retrieve data efficiently.- utilize node.js, javascript, and css to create responsive and interactive user interfaces.- collaborate with the team to implement features using angular, express.js, and ember.js.- incorporate rest and graphql apis to enhance application functionality.- manage code repositories on github and ensure proper version control.- writ..."
2,smma bubble app,"i need someone to redesign my bubble.io site to optimize conversion.hourly range: $10.00-$30.00posted on: february 17, 2024 09:08 utccategory: full stack developmentskills:web application,     website redesign,     web development,     web design,     bubble.io,     stripe apiskills:        web application,                     website redesign,                     web development,                     web design,                     bubble.io,                     stripe apilocation requirement: only freelancers located in the united states may apply.country: united statesclick to apply",United States,0,10,30,TRUE,"smma bubble app i need someone to redesign my bubble.io site to optimize conversion.hourly range: $10.00-$30.00posted on: february 17, 2024 09:08 utccategory: full stack developmentskills:web application,     website redesign,     web development,     web design,     bubble.io,     stripe apiskills:        web application,                     website redesign,                     web development,                     web design,                     bubble.io,                     stripe apilocation requirement: only freelancers located in the united states may apply.country: united statesclick to apply"
3,talent hunter specialized in marketing,"join our growing team!we are an innovative company expanding our operations and looking to build a robust offshore team. we're on the hunt for a dynamic talent hunter with a specialization in marketing. this role is pivotal in helping us find and recruit top-notch marketing professionals from english-speaking countries. (french is a plus)what you'll do:identify and recruit talented marketing professionals from french and english-speaking countries.utilize various sourcing methods to build a strong pipeline of potential candidates.conduct initial screening and interviews to assess candidates' skills and fit.collaborate with our hr team to streamline the recruitment process and ensure a smooth candidate experience.stay updated with trends in marketing and recruitment in the targeted regions.what we're looking for:proven experience in talent acquisition, specifically in marketing roles.fluent in both french and english, with excellent communication skills.strong understanding of the marketing industry and its...",United States,0,0,0,null,"talent hunter specialized in marketing join our growing team!we are an innovative company expanding our operations and looking to build a robust offshore team. we're on the hunt for a dynamic talent hunter with a specialization in marketing. this role is pivotal in helping us find and recruit top-notch marketing professionals from english-speaking countries. (french is a plus)what you'll do:identify and recruit talented marketing professionals from french and english-speaking countries.utilize various sourcing methods to build a strong pipeline of potential candidates.conduct initial screening and interviews to assess candidates' skills and fit.collaborate with our hr team to streamline the recruitment process and ensure a smooth candidate experience.stay updated with trends in marketing and recruitment in the targeted regions.what we're looking for:proven experience in talent acquisition, specifically in marketing roles.fluent in both french and english, with excellent communication skills.strong understa..."
4,data engineer,"we are looking for a resource who can work part-time for one of our projects. the work time is around 8:30 pm ist (we need 4-5 hours of support per day) monday-friday.* you will be required to work via zoom call* mandatory 2-3 years of experience in data engineering technique is mandatory* we need the resource to work in the indian time around 8:30 pm ist onwards* design, develop, and maintain etl processes using python and sql to ensure accurate and timely data extraction, transformation, and loading into data warehouses or lakes.* for creating pipelines apache dagster is the tool currently being used.* create and manage data pipelines for efficient data movement and transformation using tools such as apache iceberg, apache trino, and aws services.* work closely with data analysts and data scientists to understand data requirements and design efficient data models and data structures for analytics and reporting purposes.* monitor and troubleshoot data pipelines to ensure the integrity and consistency of d...",India,650,0,0,FALSE,"data engineer we are looking for a resource who can work part-time for one of our projects. the work time is around 8:30 pm ist (we need 4-5 hours of support per day) monday-friday.* you will be required to work via zoom call* mandatory 2-3 years of experience in data engineering technique is mandatory* we need the resource to work in the indian time around 8:30 pm ist onwards* design, develop, and maintain etl processes using python and sql to ensure accurate and timely data extraction, transformation, and loading into data warehouses or lakes.* for creating pipelines apache dagster is the tool currently being used.* create and manage data pipelines for efficient data movement and transformation using tools such as apache iceberg, apache trino, and aws services.* work closely with data analysts and data scientists to understand data requirements and design efficient data models and data structures for analytics and reporting purposes.* monitor and troubleshoot data pipelines to ensure the integrity and co..."
5,seo for portuguese psychologist site,"looking for a seo  who can help me improve my psychologist site (portuguese site) to get to more people and convert it in clients.already have the site just need to get better and reach more peopleposted on: february 17, 2024 09:07 utccategory: seoskills:search engine optimization,     seo keyword research,     google ads,     marketing strategy,     portugueseskills:        search engine optimization,                     seo keyword research,                     google ads,                     marketing strategy,                     portuguesecountry: portugalclick to apply",Portugal,0,0,0,null,"seo for portuguese psychologist site looking for a seo  who can help me improve my psychologist site (portuguese site) to get to more people and convert it in clients.already have the site just need to get better and reach more peopleposted on: february 17, 2024 09:07 utccategory: seoskills:search engine optimization,     seo keyword research,     google ads,     marketing strategy,     portugueseskills:        search engine optimization,                     seo keyword research,                     google ads,                     marketing strategy,                     portuguesecountry: portugalclick to apply"
6,want to fix the wordpress plugin,"i am currently facing some issues with a custom wordpress plugin that i have implemented on my website. i need an experienced developer who can help me fix these issues promptlybudget: $5posted on: february 17, 2024 09:07 utccategory: cms developmentskills:wordpress,     wordpress plugin,     web design,     htmlskills:        wordpress,                     wordpress plugin,                     web design,                     htmlcountry: indiaclick to apply",India,5,0,0,FALSE,"want to fix the wordpress plugin i am currently facing some issues with a custom wordpress plugin that i have implemented on my website. i need an experienced developer who can help me fix these issues promptlybudget: $5posted on: february 17, 2024 09:07 utccategory: cms developmentskills:wordpress,     wordpress plugin,     web design,     htmlskills:        wordpress,                     wordpress plugin,                     web design,                     htmlcountry: indiaclick to apply"
7,need portuguese writers who can understand and write portuguese..,"portuguese writers who have a deep understanding of the portuguese language are highly sought after. these writers possess a wealth of knowledge about the intricacies of the language, including its grammar, syntax, and vocabulary. they are able to create written works that are not only grammatically correct, but also culturally relevant and engaging for portuguese readers. with their expertise in the language, these writers are able to provide valuable insights into portuguese culture and society through their work. overall, their understanding of the portuguese language is a valuable asset to the literary world.hourly range: $7.00-$22.00posted on: february 17, 2024 09:07 utccategory: creative writingskills:portuguese,     article writing,     content writing,     seo writingskills:        portuguese,                     article writing,                     content writing,                     seo writingcountry: indiaclick to apply",India,0,7,22,TRUE,"need portuguese writers who can understand and write portuguese.. portuguese writers who have a deep understanding of the portuguese language are highly sought after. these writers possess a wealth of knowledge about the intricacies of the language, including its grammar, syntax, and vocabulary. they are able to create written works that are not only grammatically correct, but also culturally relevant and engaging for portuguese readers. with their expertise in the language, these writers are able to provide valuable insights into portuguese culture and society through their work. overall, their understanding of the portuguese language is a valuable asset to the literary world.hourly range: $7.00-$22.00posted on: february 17, 2024 09:07 utccategory: creative writingskills:portuguese,     article writing,     content writing,     seo writingskills:        portuguese,                     article writing,                     content writing,                     seo writingcountry: indiaclick to apply"
8,looker studio dashboard for leadgen and e-commerce with tool &quot;reporting ninja&quot;,"i am looking for someone who can create a professional looker studio reporting template for our leadgeneration and e-commerce clients in our corporate design (so 2 templates at all).it is important to us that there are reports for multiple advertising channels included in the template:-google ads-microsoft ads-meta ads-optional: tiktok adswe do have the paid version of the tool &quot;reporting ninja&quot; which allows us to connect those advertising accounts with looker studio.also, we would like to have a separate overview page which includes aggregated data from all the advertising channels ^.if that isn't technically possible, it's not such a big deal too...it has to be easy to replicate and adjust to new clients.posted on: february 17, 2024 09:06 utccategory: data visualizationskills:looker studio,     data visualizationskills:        looker studio,                     data visualizationcountry: germanyclick to apply",Germany,0,0,0,null,"looker studio dashboard for leadgen and e-commerce with tool &quot;reporting ninja&quot; i am looking for someone who can create a professional looker studio reporting template for our leadgeneration and e-commerce clients in our corporate design (so 2 templates at all).it is important to us that there are reports for multiple advertising channels included in the template:-google ads-microsoft ads-meta ads-optional: tiktok adswe do have the paid version of the tool &quot;reporting ninja&quot; which allows us to connect those advertising accounts with looker studio.also, we would like to have a separate overview page which includes aggregated data from all the advertising channels ^.if that isn't technically possible, it's not such a big deal too...it has to be easy to replicate and adjust to new clients.posted on: february 17, 2024 09:06 utccategory: data visualizationskills:looker studio,     data visualizationskills:        looker studio,                     data visualizationcountry: germanyclick to apply"
9,php/html/css wordpress developer needed for website transformation,"**description:**we are seeking an experienced freelancer or agency proficient in php, html, css, wordpress, elementor pro, and woocommerce to transform our static website into a dynamic, engaging platform. the ideal candidate will have a strong background in coding and customization, with expertise in integrating elementor pro and woocommerce functionalities.**responsibilities:**- convert static website pages to dynamic, responsive ones using php, html, and css.- implement wordpress features for enhanced functionality.- integrate and optimize elementor pro for seamless page building.- set up and customize woocommerce to facilitate smooth e-commerce operations.**requirements:**- proven experience in php, html, css, wordpress, elementor pro, and woocommerce.- strong portfolio showcasing dynamic website transformations.- ability to work independently and meet deadlines.- excellent communication skills for project updates and collaboration.**budget:**the project budget is $500, with payment upon successful com...",Canada,500,0,0,FALSE,"php/html/css wordpress developer needed for website transformation **description:**we are seeking an experienced freelancer or agency proficient in php, html, css, wordpress, elementor pro, and woocommerce to transform our static website into a dynamic, engaging platform. the ideal candidate will have a strong background in coding and customization, with expertise in integrating elementor pro and woocommerce functionalities.**responsibilities:**- convert static website pages to dynamic, responsive ones using php, html, and css.- implement wordpress features for enhanced functionality.- integrate and optimize elementor pro for seamless page building.- set up and customize woocommerce to facilitate smooth e-commerce operations.**requirements:**- proven experience in php, html, css, wordpress, elementor pro, and woocommerce.- strong portfolio showcasing dynamic website transformations.- ability to work independently and meet deadlines.- excellent communication skills for project updates and collaboration.**bu..."
10,3d designer needed to create a 3d model of a character,"what is needed?- 3d model of &quot;character.jpeg&quot; in the attachment- texturing of that 3d modelin which style?- in a horror stylehow realistic should it be?- the realism should be similiar to the &quot;template.png&quot; in the attachment.are rigging or animating needed?- no, neither rigging nor animations are neededwhich modeling program should be used?- that is up to you. you could use blender, autodesk 3ds max or anything else.budget: $50posted on: february 17, 2024 09:04 utccategory: 3d modeling & renderingskills:3d texturing,     3d modeling,     3d designskills:        3d texturing,                     3d modeling,                     3d designcountry: germanyclick to apply",Germany,50,0,0,FALSE,"3d designer needed to create a 3d model of a character what is needed?- 3d model of &quot;character.jpeg&quot; in the attachment- texturing of that 3d modelin which style?- in a horror stylehow realistic should it be?- the realism should be similiar to the &quot;template.png&quot; in the attachment.are rigging or animating needed?- no, neither rigging nor animations are neededwhich modeling program should be used?- that is up to you. you could use blender, autodesk 3ds max or anything else.budget: $50posted on: february 17, 2024 09:04 utccategory: 3d modeling & renderingskills:3d texturing,     3d modeling,     3d designskills:        3d texturing,                     3d modeling,                     3d designcountry: germanyclick to apply"
