freelancer_id,freelancer_name,title,matching_skills,required_skills,cosine_similarity,skill_match,experience_score,job_success,hourly_rate,budget_compatibility,country_match,recommendation_probability,prediction,rank
40,Mfonabasi I.,expert data entry specialist - data manager - web researcher,,,0.34117591381073,0.0,0.9464700535299465,0.99,20.0,0.5,0,0.9870723,1,1
32,Mahmoud D.,"excel, pbi, sql expert, data analyst, loughborough engineering, mba",,,0.27130329608917236,0.0,1.0,1.0,30.0,0.5,0,0.9842376,1,2
29,Muhammad Gulraiz H.,"web researcher, lead generation, real estate, data entry, va",,,0.33833396434783936,0.0,0.7155842844157156,0.99,5.5,0.5,0,0.9768858,1,3
56,Sumy A.,"b2b lead generation, contact list building, prospect list, data mining",,,0.298739492893219,0.0,0.861024138975861,0.83,6.5,0.5,0,0.97541445,1,4
63,Naveen K.,motivated seller leads - usa real estate list building,,,0.22223156690597534,0.0,0.8433491566508434,1.0,4.44,0.5,0,0.9751077,1,5
24,Sakshi B.,"writer: article, blog, academic writing expert+ data analyst, power bi",,,0.18138262629508972,0.0,0.7808302191697809,1.0,7.99,0.5,0,0.9717648,1,6
133,Ehtisham R.,excel   vba   zapier   google sheets   access   mac   power bi,,,0.2682136297225952,0.0,0.952934047065953,0.93,40.0,0.5,0,0.96863514,1,7
111,Zahida A.,market research   data analysis   virtual assistant   lead generation,,,0.2593614459037781,0.0,0.5015654984345016,1.0,7.0,0.5,0,0.9251006,1,8
153,Antu C.,"b2b email finder, business email lookup, email, corporate email search",,,0.25732752680778503,0.0,0.594889405110595,0.97,6.0,0.5,0,0.9220111,1,9
136,Sk. Shahidul I.,"senior product researcher   amazon, shopify - pl, wholesale   datadive",,,0.3722470700740814,0.0,0.593980406019594,1.0,14.95,0.5,0,0.9185713,1,10
43,Md Omor Faruk B.,web scraping  data scraping  data mining   data analysis,,,0.26319295167922974,0.0,0.7492172507827493,1.0,20.0,0.5,0,0.9184715,1,11
64,Michael E.,"certified project manager, analytics guru, business improvement junkie",,,0.3179890513420105,0.0,0.4218765781234219,1.0,125.0,0.5,0,0.8741609,1,12
51,Eishwar c.,expert lead generation-data entry-email finding-list building,,,0.23032459616661072,0.0,0.5716594283405717,0.97,5.0,0.5,0,0.85567474,1,13
3,"Ramil, Jr. A.",excel   vba   macros   google sheets expert,,,0.2163987159729004,0.0,0.7051812948187053,1.0,60.0,0.5,0,0.8427019,1,14
38,Bashir A.,"virtual assistant   website maintenance, lead generation, seo expert",,,0.34299570322036743,0.0,0.34319765680234326,0.98,5.99,0.5,0,0.83965117,1,15
147,Faizan S.,"lead generation , list building & data entry expert",,,0.24881111085414886,0.0,0.38703161296838706,0.91,3.0,0.5,0,0.80825937,1,16
49,Muhammad M.,lead generation and data entry expert,,,0.34267592430114746,0.0,0.45651954348045654,1.0,10.0,0.5,0,0.78017676,1,17
30,Muhammad U.,b2b lead generation/zoominfo/contact list/sales leads/linkedin sales,,,0.33886533975601196,0.0,0.33612766387233617,0.96,18.0,0.5,0,0.7654378,1,18
13,Ajay B.,python full stack- dashboard  data science  analytics  ai/ml  nlp  api,,,0.3225119113922119,0.0,0.5881224118775882,0.92,25.0,0.5,0,0.76312333,1,19
25,Rajveer S.,full stack developer   web application development   google workspace,,,0.3021959066390991,0.0,0.5397434602565397,0.95,35.0,0.5,0,0.71362126,1,20
14,Shankar M.,open ai   gen ai   chatgpt   blockchain architect   cto   azure   aws,,,0.24954837560653687,0.0,0.42793657206342794,0.97,100.0,0.5,0,0.6912409,1,21
99,Abdul W.,zoominfo pro   lexisnexis   tlo   linkedin   lead generation   emails,,,0.21289581060409546,0.0,0.5150994849005152,1.0,7.0,0.5,0,0.6459421,1,22
36,Sana S.,graphic design & presentation design   data entry & admin support,,,0.20205292105674744,0.0,0.4732855267144733,1.0,38.0,0.5,0,0.59866196,1,23
130,Terrence C.,statistical consultant   data analyst   researcher,,,0.1794857680797577,0.0,0.5347944652055348,1.0,50.0,0.5,0,0.5704818,1,24
143,Robert O.,battle-tested upwork strategy - earn more. free up time to enjoy life,,,0.09073542058467865,0.0,0.6648823351176649,0.99,77.77,0.5,0,0.5628942,1,25
16,Wasi U.,full-stack web developer  django  react  node  python web scraping,,,0.3185654580593109,0.0,0.33360266639733366,1.0,20.0,0.5,0,0.4935045,0,26
126,Roy L.,"vba, microsoft access, excel, sql server, sharepoint, azure, dataverse",,,0.35294365882873535,0.0,0.4096555903444097,0.89,25.0,0.5,0,0.46995813,0,27
141,Misty M.,b2b lead generation  web research  list building  sourcing specialist,,,0.28039395809173584,0.0,0.2711847288152712,1.0,33.0,0.5,0,0.4680065,0,28
155,Parthsarthi D.,expert social media manager   youtube   instagram   twitter   fb,,,0.19906815886497498,0.0,0.3914756085243915,1.0,20.0,0.5,0,0.43978387,0,29
142,Md Mujammel H.,"digital marketing, online research, writing, web development",,,0.28663358092308044,0.0,0.31320068679931323,0.98,18.0,0.5,0,0.40512285,0,30
39,Ajit T.,tech admin va - excel & gsheets   data entry   etl   email lists,,,0.351379930973053,0.0,0.21573578426421572,1.0,22.5,0.5,0,0.39763996,0,31
4,Jason K.,data science & ai expert- senior machine learning engineer at linkedin,,,0.22875995934009552,0.0,0.2847187152812848,1.0,500.0,0.5,0,0.39600104,0,32
50,Pratik D.,"seasoned backend developer/ technical writer/ java, sql, nosql, r, etl",,,0.2232670783996582,0.0,0.37703262296737705,1.0,29.0,0.5,0,0.39549705,0,33
151,Ali Y.,research expert   web research   virtual assistant   lead generation,,,0.19131304323673248,0.0,0.40854459145540856,0.94,10.0,0.5,0,0.3894692,0,34
109,Faizan Z.,creative freelancer: helping businesses grow and succeed,,,0.22259964048862457,0.0,0.2302797697202303,0.9,12.0,0.5,0,0.3587789,0,35
7,Devendra R.,odoo expert   odoo consultant   ai & ml   data scientist,,,0.2830459177494049,0.0,0.3785476214523786,0.97,35.0,0.5,0,0.299603,0,36
21,Mani V.,"python, data science, analytics, ai/ml, dashboard, etl pipeline, nlp",,,0.3198383152484894,0.0,0.3590546409453591,0.94,30.0,0.5,0,0.29779887,0,37
123,James S.,ph.d. data analyst/statistician - program evaluator - editor/reviewer,,,0.17143839597702026,0.0,0.31320068679931323,1.0,125.0,0.5,0,0.2672421,0,38
44,Noushad A.,"web scraper, data scientist, python developer",,,0.27927133440971375,0.0,0.34420765579234425,1.0,25.0,0.5,0,0.26699218,0,39
52,Marvin S.,individualized data analysis - we offer a scientific approach for you.,,,0.4005098342895508,0.0,0.048176951823048174,1.0,40.0,0.5,0,0.20774359,0,40
106,Priyanka R.,"full stack developer - python, node, ai/ml, analytics, dashboard, api",,,0.27376359701156616,0.0,0.3435006564993435,0.99,25.0,0.5,0,0.20728737,0,41
53,Fahad A.,"expert in power bi, excel, data analysis, sql, word, powerpoint &visio",,,0.1946863979101181,0.0,0.5411574588425412,0.71,30.0,0.5,0,0.20109548,0,42
108,Rohit K.,"expert database, code & devops architect   full stack developer",,,0.2304733395576477,0.0,0.30501969498030507,1.0,35.0,0.5,0,0.19374397,0,43
46,vikas k.,ror   node   next   angular   react   aws   spree   data scraping,,,0.27713334560394287,0.0,0.2213917786082214,1.0,25.0,0.5,0,0.17203088,0,44
117,Shubham S.,data extraction django/flask,,,0.3029949963092804,0.0,0.29259670740329263,0.93,25.0,0.5,0,0.16352668,0,45
2,Nikola M.,researcher,,,0.24290451407432556,0.0,0.23623876376123623,0.97,15.0,0.5,0,0.15206069,0,46
55,Ahmed o.,ph.d inorganic and analytical chemistry and chemical formulator,,,0.14553354680538177,0.0,0.3804666195333805,1.0,20.0,0.5,0,0.14325257,0,47
17,Uttam A.,data engineer   sql   ai/ml   nlp  power bi   kibana   dashboard   api,,,0.3130001425743103,0.0,0.3312796687203313,0.87,25.0,0.5,0,0.13864715,0,48
42,Rajab S.,lead generation   information retrieval   remote support   crm_entries,,,0.2924113869667053,0.0,0.14947985052014948,0.93,4.0,0.5,0,0.11835248,0,49
116,Paulo O.,microsoft certified   power bi expert   report   dashboard consultant,,,0.22162595391273499,0.0,0.18240581759418242,1.0,55.0,0.5,0,0.10021129,0,50
112,Soban A.,data scientist   machine learning expert,,,0.16346612572669983,0.0,0.24522775477224523,1.0,15.0,0.5,0,0.09910459,0,51
47,Malik Haseeb H.,saas developer   deep learning   open ai   nlp   saas mvp,,,0.2131596803665161,0.0,0.1635188364811635,1.0,36.0,0.5,0,0.09828101,0,52
95,Ali A.,data analyst   sql   python   automation   machine learning,,,0.323137491941452,0.0,0.10423189576810424,1.0,25.0,0.5,0,0.09688368,0,53
1,Abeer K.,data scientist   web scraping engineer,,,0.24737896025180817,0.0,0.25371174628825377,0.97,25.0,0.5,0,0.094887726,0,54
58,Ugonna B.,"detailed va    expert in web mining, ai data scraping, and research.",,,0.3083740472793579,0.0,0.004443995556004443,1.0,15.0,0.5,0,0.09081792,0,55
35,Zeeshan A.,senior full stack developer   python   node.js   react.js   ai,,,0.30742257833480835,0.0,0.09706090293909707,0.98,30.0,0.5,0,0.090592764,0,56
62,Arjun V.,power bi   tableau   nlp   etl   azure   aws   8+ yoe,,,0.3081158399581909,0.0,0.15917584082415917,1.0,45.0,0.5,0,0.08948404,0,57
27,Pavel A.,"gpt-4, chatgpt, llms, generative ai product expert",,,0.12035786360502243,0.0,0.3906676093323907,0.84,150.0,0.5,0,0.08892823,0,58
20,Muhammad Ameer H.,python/flask/chatgpt   machine learning   ai   web scraping,,,0.22310924530029297,0.0,0.35602464397535605,0.89,45.0,0.5,0,0.07765938,0,59
33,Parv Y.,"data scientist (web scrapping, etl, ml, nlp)",,,0.30824756622314453,0.0,0.07574992425007575,0.96,15.0,0.5,0,0.0607668,0,60
96,Abdul R.,expert data scientist & full stack developer: generative ai specialist,,,0.27146846055984497,0.0,0.09302090697909303,1.0,35.0,0.5,0,0.06012997,0,61
104,Muhammad Faheem S.,cloud engineer   big data engineer,,,0.26416105031967163,0.0,0.1322088677911322,1.0,30.0,0.5,0,0.05114747,0,62
145,Muhammad Junaid A.,full stack   python   django   javascript   react   node.js   laravel,,,0.2935096323490143,0.0,0.07181092818907181,1.0,25.0,0.5,0,0.04947114,0,63
65,Marlon B.,"financial auditor, certified public accountant & data analysis",,,0.2822732925415039,0.0,0.08615291384708615,1.0,7.0,0.5,0,0.049019404,0,64
23,Nick V.,analytics wizard for cloud-based   ph.d. data engineer & analyst,,,0.2506645619869232,0.0,0.11382688617311382,1.0,65.0,0.5,0,0.044551965,0,65
9,Mahabubur R.,"metabase expert, data analyst, sql + google looker studio +bigquery",,,0.25954514741897583,0.0,0.13917786082213918,1.0,30.0,0.5,0,0.044402298,0,66
34,Junaid U.,data engineer,,,0.24573716521263123,0.0,0.15584284415715585,1.0,30.0,0.5,0,0.040772006,0,67
150,Virender B.,senior software developer with 6+ yoe in java & python,,,0.30693531036376953,0.0,0.057771942228057774,1.0,30.0,0.5,0,0.03978727,0,68
140,Sahaj G.,expert - full stack software engineer   mobile app   web app   ai/ml,,,0.36524927616119385,0.0,0.045247954752045245,0.66,15.0,0.5,0,0.039307285,0,69
28,Snehit D.,python developer & web scraping expert who speaks argentinian spanish,,,0.24007880687713623,0.0,0.13917786082213918,1.0,10.0,0.5,0,0.038205933,0,70
